0,330,422
1,4,2
2,4,2
3,120,354
4,120,371
5,120,349
6,2,16
7,20,2
8,7,3
9,122,395
10,122,359
11,122,367
12,122,366
13,122,365
14,122,364
15,122,362
16,122,363
17,122,368
18,122,369
19,158,368
20,158,366
21,119,363
22,119,362
23,121,350
24,121,351
25,121,371
26,121,354
27,121,409
28,121,416
29,121,411
30,216,408
31,216,349
32,10,8
33,10,8
34,10,8
35,10,8
36,10,8
37,10,2
38,9,2
39,124,349
40,124,354
41,124,370
42,124,349
43,124,369
44,124,408
45,124,362
46,124,363
47,124,364
48,124,365
49,124,367
50,124,366
51,124,368
52,124,408
53,168,362
54,1,7
55,1,3
56,1,3
57,1,7
58,1,7
59,1,7
60,244,362
61,244,416
62,244,363
63,118,422
64,118,402
65,118,358
66,260,350
67,127,371
68,127,369
69,127,354
70,127,352
71,127,351
72,127,464
73,117,371
74,117,369
75,117,368
76,117,366
77,117,362
78,117,365
79,117,409
80,117,416
81,117,411
82,117,349
83,117,408
84,117,366
85,117,354
